[DEBUG] 2016-04-06 16:04:58:0187 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/insert_module_function.php | 17 | 326040 | Module config is in /modules/rss/
[DEBUG] 2016-04-06 16:04:58:0187 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/insert_module_function.php | 33 | 326464 | Trying to include module design file for rss
[DEBUG] 2016-04-06 16:04:58:0188 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/insert_module_function.php | 17 | 327176 | Module config is in /modules/counter-googleanalytics/
[DEBUG] 2016-04-06 16:04:58:0189 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/insert_module_function.php | 33 | 327488 | Trying to include module design file for counter-googleanalytics
[DEBUG] 2016-04-06 16:04:58:0190 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/insert_module_function.php | 17 | 327992 | Module config is in /modules/counter-liveinternet/
[DEBUG] 2016-04-06 16:04:58:0190 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/insert_module_function.php | 33 | 328280 | Trying to include module design file for counter-liveinternet
[INFO ] 2016-04-06 16:04:58:0191 | erasc.popwebstudio.ru | 188.64.146.64 | admin | modules/counter-liveinternet/design.php | 11 | 330456 | design.php | Got /home/a/aromanuq/popwebstudio/public_html/modules/counter-liveinternet/design.php
[DEBUG] 2016-04-06 16:04:58:0192 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/insert_module_function.php | 17 | 328576 | Module config is in /modules/counter-yandex/
[DEBUG] 2016-04-06 16:04:58:0192 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/insert_module_function.php | 33 | 328864 | Trying to include module design file for counter-yandex
[INFO ] 2016-04-06 16:04:58:0197 | erasc.popwebstudio.ru | 188.64.146.64 | admin | adminpanel/adminpanel-checkuserrole.php | 11 | 327064 | Got /home/a/aromanuq/popwebstudio/public_html/adminpanel/adminpanel-checkuserrole.php
[INFO ] 2016-04-06 16:04:58:0201 | erasc.popwebstudio.ru | 188.64.146.64 | admin | adminpanel/adminpanel-login-form.php | 11 | 327560 | Got /home/a/aromanuq/popwebstudio/public_html/adminpanel/adminpanel-login-form.php
[INFO ] 2016-04-06 16:04:58:0202 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/platform_jscss.php | 1 | 327808 | Got this file
[INFO ] 2016-04-06 16:05:05:0920 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 29 | 287800 | ----- The new request to erasc.popwebstudio.ru/adminpanel/ ----------------
[INFO ] 2016-04-06 16:05:05:0921 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 30 | 287816 | Referer is http://erasc.popwebstudio.ru/adminpanel/
[DEBUG] 2016-04-06 16:05:05:0922 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 46 | 287632 | Trying to call insert_function_function.php
[INFO ] 2016-04-06 16:05:05:0922 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_function_function.php | 12 | 289672 | Got this file
[DEBUG] 2016-04-06 16:05:05:0922 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 49 | 287960 | Trying to insert insert_module function
[INFO ] 2016-04-06 16:05:05:0923 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 2 | 289936 | Got this file
[DEBUG] 2016-04-06 16:05:05:0923 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 53 | 288224 | Trying to check available modules
[INFO ] 2016-04-06 16:05:05:0924 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_avail_modules.php | 10 | 290200 | Got this file
[DEBUG] 2016-04-06 16:05:05:0932 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_avail_modules.php | 21 | 294520 | Data about modules received: installed 5, enabled 5
[DEBUG] 2016-04-06 16:05:05:0932 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 56 | 292608 | Trying to get browser
[INFO ] 2016-04-06 16:05:05:0933 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/browser.php | 15 | 294480 | Got this file
[DEBUG] 2016-04-06 16:05:05:0935 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/browser.php | 51 | 295608 | Browser matched:chrome version 39.0.2171.95
[DEBUG] 2016-04-06 16:05:05:0935 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 59 | 293776 | Trying to check if it is bot
[INFO ] 2016-04-06 16:05:05:0936 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_bots.php | 2 | 295768 | Got this file
[DEBUG] 2016-04-06 16:05:05:0937 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 62 | 297944 | Trying to found injection
[INFO ] 2016-04-06 16:05:05:0938 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_injection.php | 3 | 299888 | Got this file
[DEBUG] 2016-04-06 16:05:05:0939 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 68 | 298896 | Trying to get page from get
[INFO ] 2016-04-06 16:05:05:0939 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/pagefromget.php | 2 | 300816 | Got this file
[INFO ] 2016-04-06 16:05:05:0940 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/functions/process_user_data.php | 2 | 302808 | Got this file
[INFO ] 2016-04-06 16:05:05:0941 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/checkuserrole.php | 2 | 303608 | Got this file
[INFO ] 2016-04-06 16:05:05:0941 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/checkuserrole.php | 5 | 303608 | Users data received
[INFO ] 2016-04-06 16:05:05:0943 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 51 | 304792 | Login parameters checked succeed.
[INFO ] 2016-04-06 16:05:05:0943 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 66 | 304792 | Login by email.
[DEBUG] 2016-04-06 16:05:05:0946 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 77 | 306144 | Try to find user with 'SELECT * FROM `erasc-users` WHERE `contactmail`='admin' and `password`='a906449d5769fa7361d7ecc6aa3f6d28' -- 752027368;'
[INFO ] 2016-04-06 16:05:05:0947 | erasc.popwebstudio.ru | 188.64.146.64 | admin | core/checkuserrole.php | 139 | 305664 | Auth not successful
